name,address,phone,permit_type,score,date
GRADUATE ATHENS HOTEL,"295 DOUGHERTY ST ATHENS, GA 30601", (706) 549-7020, TA, 96, 12-09-2019
DUNKIN DONUTS,"1850 EPPS BRIDGE PKWY STE 201 ATHENS, GA 30606", (706) 546-1635, FS, 96, 12-04-2019
FIVE GUYS BURGERS AND FRIES,"1850 EPPS BRIDGE PKWY ATHENS, GA 30606", (706) 549-9081, FS, 91, 12-04-2019
CHEF MING'S,"1720 EPPS BRIDGE PKWY STE 107 ATHENS, GA 30606", (706) 552-3233, FS, 91, 12-04-2019
ATHENS WOK,"493 EAST CLAYTON ST ATHENS, GA 30601", (706) 850-2695, FS, 98, 11-20-2019
BULLDAWG PIZZA,"2026 S MILLEDGE AVE STE D6 ATHENS, GA 30605", (706) 355-3294, FS, 84, 11-06-2019
THE WORLD FAMOUS,"351 N. HULL ST ATHENS, GA 30601", (706) 543-4002, FS, 88, 10-29-2019
OSTERIA ATHENA,"323 E BROAD ST ATHENS, GA 30601", (706) 353-3911, FS, 93, 10-02-2019
MORNINGSIDE OF ATHENS,"1291 CEDAR SHOALS DR ATHENS, GA 30605", (706) 227-0919, FS, 99, 09-04-2019
BEECHWOOD CINEMAS,"196 ALPS RD ATHENS, GA 30606", (706) 546-1012, FS, 91, 08-14-2019
THE WHITE TIGER GOURMET,"217 HIAWASSEE AVE ATHENS, GA 30601", (706) 353-6847, FS, 88, 07-22-2019
THE GRIT,"199 PRINCE AVE ATHENS, GA 30601", (706) 543-6592, FS, 88, 07-18-2019
AMERICAN DELI,"2139 W BROAD ST ATHENS, GA 30606", (706) 395-6615, FS, 98, 06-25-2019
ACC FOOD PREP FACILITY,"2825 COUNTY FARM RD ATHENS, GA 30605", (706) 613-3400, FS, 90, 06-19-2019
ACC JAIL EXTENSION,"3015 LEXINGTON HWY ATHENS, GA 30605", (706) 613-3270, FS, 91, 06-19-2019
11TH PIN FOOD & DRINK,"555 MACON HWY ATHENS, GA 30606", (706) 548-1028, FS, 91, 06-11-2019
AGUA LINDA,"2080 TIMOTHY RD STE A ATHENS, GA 30606", (706) 543-0154, FS, 96, 05-20-2019
